,auroc,auprc,f1_macro,f1_weighted,mcc,brier
catboost,0.9975,0.9912,0.9632,0.9761,0.9276,0.0166
ENSEMBLE_STACKER,0.9975,0.9914,0.9775,0.9855,0.955,0.013
xgboost,0.9974,0.9906,0.9769,0.9852,0.9539,0.012
lightgbm,0.9974,0.9906,0.9769,0.9852,0.9538,0.012
deep_ensemble,0.9973,0.99,0.9771,0.9854,0.9542,0.012
mc_dropout,0.9971,0.9894,0.9765,0.985,0.9531,0.0125
tabular_nn,0.9971,0.9894,0.9765,0.985,0.9531,0.0125
gradient_boosting,0.9968,0.9898,0.9752,0.9842,0.9505,0.0126
random_forest,0.9964,0.9866,0.9648,0.9773,0.9301,0.0165
logistic_regression,0.9942,0.9781,0.9578,0.9727,0.9165,0.0228
kan,0.9896,0.968,0.9422,0.9628,0.8847,0.03
